,type,SNR,sum_rate,K,running_time
0,Uniform,10,1.564875797,4,
1,Random,10,1.618512567,4,
2,WMMES,10,4.463194156,4,
3,GDR,10,4.1,4,2.206005335
4,Uniform,1.666666667,1.019107295,4,
5,Random,1.666666667,1.303272985,4,
6,WMMES,1.666666667,2.812158722,4,
7,GDR,1.666666667,2.645037761,4,2.43336463
8,Uniform,0.909090909,0.759501891,4,
9,Random,0.909090909,1.092363178,4,
10,WMMES,0.909090909,2.140226433,4,
11,GDR,0.909090909,1.954416148,4,2.364071131
12,Uniform,0.625,0.606325293,4,
13,Random,0.625,0.940878763,4,
14,WMMES,0.625,1.746018357,4,
15,GDR,0.625,1.49961741,4,2.418541908
16,Uniform,0.476190476,0.504927856,4,
17,Random,0.476190476,0.826621852,4,
18,WMMES,0.476190476,1.481083203,4,
19,GDR,0.476190476,1.359265214,4,2.256705523
20,Uniform,0.384615385,0.432741744,4,
21,Random,0.384615385,0.737287965,4,
22,WMMES,0.384615385,1.28894986,4,
23,GDR,0.384615385,1.114292876,4,2.281295061
24,Uniform,0.322580645,0.378690249,4,
25,Random,0.322580645,0.665482831,4,
26,WMMES,0.322580645,1.142487667,4,
27,GDR,0.322580645,1.030598864,4,2.127048016
28,Uniform,0.277777778,0.336682982,4,
29,Random,0.277777778,0.606485929,4,
30,WMMES,0.277777778,1.026789787,4,
31,GDR,0.277777778,0.938407772,4,1.919291735
32,Uniform,0.243902439,0.303088227,4,
33,Random,0.243902439,0.557138122,4,
34,WMMES,0.243902439,0.932900665,4,
35,GDR,0.243902439,0.827340382,4,2.046980143
36,Uniform,0.217391304,0.275603797,4,
37,Random,0.217391304,0.515243497,4,
38,WMMES,0.217391304,0.855081739,4,
39,GDR,0.217391304,0.77673112,4,2.275166035
40,Uniform,0.196078431,0.252698699,4,
41,Random,0.196078431,0.479227298,4,
42,WMMES,0.196078431,0.789470804,4,
43,GDR,0.196078431,0.733122179,4,2.227074146
44,Uniform,0.178571429,0.233314726,4,
45,Random,0.178571429,0.447930289,4,
46,WMMES,0.178571429,0.73336565,4,
47,GDR,0.178571429,0.659251849,4,2.205767632
48,Uniform,0.163934426,0.216696812,4,
49,Random,0.163934426,0.420479899,4,
50,WMMES,0.163934426,0.684815095,4,
51,GDR,0.163934426,0.629034195,4,2.752963305
52,Uniform,0.151515152,0.202291623,4,
53,Random,0.151515152,0.396206601,4,
54,WMMES,0.151515152,0.642372866,4,
55,GDR,0.151515152,0.559047225,4,2.331417561
56,Uniform,0.14084507,0.189684335,4,
57,Random,0.14084507,0.374588003,4,
58,WMMES,0.14084507,0.604942955,4,
59,GDR,0.14084507,0.509227838,4,2.628402948
60,Uniform,0.131578947,0.178557811,4,
61,Random,0.131578947,0.355210467,4,
62,WMMES,0.131578947,0.571678879,4,
63,GDR,0.131578947,0.524187203,4,2.314562321
64,Uniform,0.12345679,0.16866542,4,
65,Random,0.12345679,0.337742173,4,
66,WMMES,0.12345679,0.54191603,4,
67,GDR,0.12345679,0.469022696,4,2.366321087
68,Uniform,0.11627907,0.159812462,4,
69,Random,0.11627907,0.321913815,4,
70,WMMES,0.11627907,0.515125011,4,
71,GDR,0.11627907,0.480592549,4,2.277723074
72,Uniform,0.10989011,0.151843175,4,
73,Random,0.10989011,0.30750452,4,
74,WMMES,0.10989011,0.49087872,4,
75,GDR,0.10989011,0.442790018,4,2.259488106
76,Uniform,0.104166667,0.144631455,4,
77,Random,0.104166667,0.294331422,4,
78,WMMES,0.104166667,0.468828646,4,
79,GDR,0.104166667,0.435371947,4,2.30851388